,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_50,0,0,0,0,22,22,102,94,40,0,0,0,0,9,0,107,121,125,101,26,0,55,75,81,178,414,279
ASV_51,0,0,0,0,0,0,85,132,57,0,0,0,0,7,0,99,120,143,109,0,0,0,34,18,227,481,331
ASV_52,31,168,0,0,0,0,162,131,162,0,0,0,0,0,0,123,115,123,208,36,0,0,0,0,155,169,238
ASV_53,655,56,159,0,10,12,42,60,23,0,0,0,0,0,0,119,30,77,65,84,40,0,0,0,255,50,50
ASV_54,324,78,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,266,102,0,0,0,0,0,0
ASV_55,0,0,25,0,0,0,0,0,5,412,368,258,0,0,0,0,4,0,0,5,698,0,0,0,0,0,0
ASV_56,0,0,0,0,20,17,195,183,150,0,0,0,0,0,0,467,116,164,21,0,0,0,0,0,273,64,68
ASV_58,31,0,0,51,0,0,0,0,0,453,101,127,0,529,146,0,0,0,94,73,0,0,0,0,36,27,46
ASV_59,0,0,0,0,7,0,115,117,79,0,0,0,0,0,0,66,75,30,35,0,0,0,0,0,332,486,349
ASV_60,17,98,46,0,47,45,0,19,161,362,65,61,19,12,15,65,70,0,26,0,8,0,0,0,31,476,35
ASV_61,889,236,34,0,0,0,0,0,0,67,60,118,0,0,0,0,0,0,58,194,0,0,0,0,0,0,0
ASV_62,0,0,0,0,6,13,69,111,56,0,0,0,0,0,0,62,35,65,50,0,0,0,0,0,199,709,206
ASV_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,0,0,0,0,0,0,0,0,0
ASV_64,0,0,0,0,0,0,0,0,0,50,95,1164,53,89,102,0,0,0,0,0,0,0,0,0,0,0,0
ASV_65,0,0,0,204,153,178,0,0,0,0,0,0,161,182,503,81,46,0,39,0,0,0,0,0,0,0,0
ASV_66,19,0,0,127,8,0,0,0,0,170,60,50,29,0,0,515,543,0,9,0,0,0,0,0,0,9,0
ASV_67,12,6,124,0,0,0,16,0,16,739,40,50,14,424,97,0,0,0,0,0,0,0,0,0,0,0,0
